Entry	Entry name	Status	Protein names	Gene names	Organism	Length	yourlist:M2017100483C3DD8CE55183C76102DC5D3A26728BEC41F24
P0ADR8	PPNN_ECOLI	reviewed	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase)	ppnN ygdH b2795 JW2766	Escherichia coli (strain K12)	454	P37350
P75876	RLMI_ECOLI	reviewed	Ribosomal RNA large subunit methyltransferase I (EC 2.1.1.191) (23S rRNA m5C1962 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RlmI)	rlmI yccW b0967 JW5898	Escherichia coli (strain K12)	396	P75876
P0A920	OMPX_SHIFL	reviewed	Outer membrane protein X	ompX SF0765 S0807	Shigella flexneri	171	P36546
P0A919	OMPX_ECO57	reviewed	Outer membrane protein X	ompX Z1036 ECs0892	Escherichia coli O157:H7	171	P36546
P0A917	OMPX_ECOLI	reviewed	Outer membrane protein X	ompX ybiG b0814 JW0799	Escherichia coli (strain K12)	171	P36546
P0A918	OMPX_ECOL6	reviewed	Outer membrane protein X	ompX c0900	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	171	P36546
P43671	PQIB_ECOLI	reviewed	Paraquat-inducible protein B	pqiB pqi5B b0951 JW0934	Escherichia coli (strain K12)	546	P43671
P61316	LOLA_ECOLI	reviewed	Outer-membrane lipoprotein carrier protein (P20)	lolA lplA yzzV b0891 JW0874	Escherichia coli (strain K12)	203	P61316
P08331	CPDB_ECOLI	reviewed	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16)	cpdB b4213 JW4171	Escherichia coli (strain K12)	647	P08331
P30859	ARTI_ECOLI	reviewed	Putative ABC transporter arginine-binding protein 2	artI b0863 JW0847	Escherichia coli (strain K12)	243	P30859
P0A990	DPO3B_ECO57	reviewed	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN Z5192 ECs4636	Escherichia coli O157:H7	366	P00583
P0A988	DPO3B_ECOLI	reviewed	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit)	dnaN b3701 JW3678	Escherichia coli (strain K12)	366	P00583
P0A989	DPO3B_ECOL6	reviewed	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN c4623	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	366	P00583
P0A9H0	MODE_SHIFL	reviewed	Transcriptional regulator ModE	modE SF0543 S0551	Shigella flexneri	262	P46930
P0A9G9	MODE_ECO57	reviewed	Transcriptional regulator ModE	modE Z0931 ECs0789	Escherichia coli O157:H7	262	P46930
P0A9G8	MODE_ECOLI	reviewed	Transcriptional regulator ModE	modE modR b0761 JW0744	Escherichia coli (strain K12)	262	P46930
P12758	UDP_ECOLI	reviewed	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)	udp b3831 JW3808	Escherichia coli (strain K12)	253	P12758
P0A9Y5	CSPA_SALEN	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA	Salmonella enteritidis	70	P15277
P0A9Y3	CSPA_SALTI	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA STY4153 t3870	Salmonella typhi	70	P15277
P0A9Y4	CSPA_SHIFL	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA SF3589 S4179	Shigella flexneri	70	P15277
P0A9Y1	CSPA_ECO57	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA Z4981 ECs4441	Escherichia coli O157:H7	70	P15277
P0A9Y2	CSPA_SALTY	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA STM3649	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	70	P15277
P0A9Y0	CSPA_ECOL6	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA c4377	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	70	P15277
P0A9X9	CSPA_ECOLI	reviewed	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA cspS b3556 JW3525	Escherichia coli (strain K12)	70	P15277
P37759	RMLB1_ECOLI	reviewed	dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)	rfbB rmlB b2041 JW2026	Escherichia coli (strain K12)	361	P37759
P23865	PRC_ECOLI	reviewed	Tail-specific protease (EC 3.4.21.102) (C-terminal-processing peptidase) (PRC protein) (Protease Re)	prc tsp b1830 JW1819	Escherichia coli (strain K12)	682	P23865
P0AEZ6	MIND_SHIFL	reviewed	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD SF1162 S1248	Shigella flexneri	270	P18197
P0AEZ4	MIND_ECOL6	reviewed	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD c1622	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	270	P18197
P0AEZ5	MIND_ECO57	reviewed	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD Z1937 ECs1669	Escherichia coli O157:H7	270	P18197
P0AEZ3	MIND_ECOLI	reviewed	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD b1175 JW1164	Escherichia coli (strain K12)	270	P18197
P18133	PNCB_ECOLI	reviewed	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	pncB b0931 JW0914	Escherichia coli (strain K12)	400	P18133
P36938	PGM_ECOLI	reviewed	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	pgm b0688 JW0675	Escherichia coli (strain K12)	546	P36938
P31142	THTM_ECOLI	reviewed	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2) (Rhodanese-like protein)	sseA b2521 JW2505	Escherichia coli (strain K12)	281	P31142
P60723	RL4_ECOLI	reviewed	50S ribosomal protein L4 (Large ribosomal subunit protein uL4)	rplD eryA b3319 JW3281	Escherichia coli (strain K12)	201	P60723
P02943	LAMB_ECOLI	reviewed	Maltoporin (Lambda receptor protein) (Maltose-inducible porin)	lamB malB b4036 JW3996	Escherichia coli (strain K12)	446	P02943
P16456	SELD_ECOLI	reviewed	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	selD fdhB b1764 JW1753	Escherichia coli (strain K12)	347	P16456
P68206	YJBJ_ECOLI	reviewed	UPF0337 protein YjbJ	yjbJ b4045 JW4005	Escherichia coli (strain K12)	69	P32691
P68207	YJBJ_ECO57	reviewed	UPF0337 protein YjbJ	yjbJ Z5644 ECs5028	Escherichia coli O157:H7	69	P32691
P68208	YJBJ_SHIFL	reviewed	UPF0337 protein YjbJ	yjbJ SF4160 S3571	Shigella flexneri	69	P32691
P08622	DNAJ_ECOLI	reviewed	Chaperone protein DnaJ (HSP40) (Heat shock protein J)	dnaJ groP b0015 JW0014	Escherichia coli (strain K12)	376	P08622
P23830	PSS_ECOLI	reviewed	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	pssA pss b2585 JW2569	Escherichia coli (strain K12)	451	P23830
P15038	HELD_ECOLI	reviewed	DNA helicase IV (EC 3.6.4.12) (75 kDa helicase)	helD b0962 JW0945	Escherichia coli (strain K12)	684	P15038
P39356	YJHU_ECOLI	reviewed	Uncharacterized transcriptional regulator YjhU	yjhU b4295 JW5952	Escherichia coli (strain K12)	328	P39356
P76002	PLIG_ECOLI	reviewed	Inhibitor of g-type lysozyme	pliG ycgK b1178 JW1167	Escherichia coli (strain K12)	133	P76002
P0ADA4	NLPD_SHIFL	reviewed	Murein hydrolase activator NlpD	nlpD SF2765 S2958	Shigella flexneri	379	P33648
P0ADA3	NLPD_ECOLI	reviewed	Murein hydrolase activator NlpD	nlpD b2742 JW2712	Escherichia coli (strain K12)	379	P33648
P69504	APT_ECOL6	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt c0588	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	183	P07672
P69503	APT_ECOLI	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt b0469 JW0458	Escherichia coli (strain K12)	183	P07672
P46837	YHGF_ECOLI	reviewed	Protein YhgF	yhgF b3407 JW3370	Escherichia coli (strain K12)	773	P46837
P23843	OPPA_ECOLI	reviewed	Periplasmic oligopeptide-binding protein	oppA b1243 JW1235	Escherichia coli (strain K12)	543	P23843
P0A8J9	RHLB_ECOL6	reviewed	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	rhlB c4700	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	421	P24229
P0A8J8	RHLB_ECOLI	reviewed	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	rhlB mmrA b3780 JW3753	Escherichia coli (strain K12)	421	P24229
P0A8K0	RHLB_SHIFL	reviewed	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	rhlB SF3853 S3906	Shigella flexneri	421	P24229
P37666	GHRB_ECOLI	reviewed	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoaldonate reductase) (2-ketogluconate reductase) (2KR) (EC 1.1.1.215)	ghrB tkrA yiaE b3553 JW5656	Escherichia coli (strain K12)	324	P37666
P62399	RL5_ECOLI	reviewed	50S ribosomal protein L5 (Large ribosomal subunit protein uL5)	rplE b3308 JW3270	Escherichia coli (strain K12)	179	P62399
P60624	RL24_ECOLI	reviewed	50S ribosomal protein L24 (Large ribosomal subunit protein uL24)	rplX b3309 JW3271	Escherichia coli (strain K12)	104	P60624
P0A9J6	RBSK_ECOLI	reviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK b3752 JW3731	Escherichia coli (strain K12)	309	P05054
P0A9J7	RBSK_ECO57	reviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK Z5253 ECs4694	Escherichia coli O157:H7	309	P05054
P77150	PDXY_ECOLI	reviewed	Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35) (Pyridoxal kinase 2) (PL kinase 2)	pdxY ydgS b1636 JW1628	Escherichia coli (strain K12)	287	P77150
P07001	PNTA_ECOLI	reviewed	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)	pntA b1603 JW1595	Escherichia coli (strain K12)	510	P07001
P04982	RBSD_ECOLI	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD b3748 JW5857	Escherichia coli (strain K12)	139	P04982
P30870	GLNE_ECOLI	reviewed	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N) (AT-N440) (P-I); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	glnE b3053 JW3025	Escherichia coli (strain K12)	946	P30870
P0AFB3	NLPI_ECO57	reviewed	Lipoprotein NlpI	nlpI Z4524 ECs4044	Escherichia coli O157:H7	294	P39833
P0AFB4	NLPI_SHIFL	reviewed	Lipoprotein NlpI	nlpI SF3204 S3421	Shigella flexneri	294	P39833
P0AFB1	NLPI_ECOLI	reviewed	Lipoprotein NlpI	nlpI yhbM b3163 JW3132	Escherichia coli (strain K12)	294	P39833
P0AFB2	NLPI_ECOL6	reviewed	Lipoprotein NlpI	nlpI c3918	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	294	P39833
P0A9K5	PHOL_ECO57	reviewed	PhoH-like protein	ybeZ Z0809 ECs0698	Escherichia coli O157:H7	346	P77349
P0A9K6	PHOL_SHIFL	reviewed	PhoH-like protein	ybeZ SF0622 S0644	Shigella flexneri	346	P77349
P0A9K3	PHOL_ECOLI	reviewed	PhoH-like protein	ybeZ b0660 JW0657	Escherichia coli (strain K12)	346	P77349
P0A9K4	PHOL_ECOL6	reviewed	PhoH-like protein	ybeZ c0745	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	346	P77349
P46889	FTSK_ECOLI	reviewed	DNA translocase FtsK	ftsK b0890 JW0873	Escherichia coli (strain K12)	1329	P46889
P39172	ZNUA_ECOLI	reviewed	High-affinity zinc uptake system protein ZnuA	znuA yebL yzzP b1857 JW5831	Escherichia coli (strain K12)	310	P39172
P75745	YBGK_ECOLI	reviewed	Uncharacterized protein YbgK	ybgK b0712 JW0702	Escherichia coli (strain K12)	310	P75745
P25738	MSYB_ECOLI	reviewed	Acidic protein MsyB	msyB b1051 JW1039	Escherichia coli (strain K12)	124	P25738
P0A6Q8	FABZ_ECO57	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ Z0192 ECs0182	Escherichia coli O157:H7	151	P21774
P0A6Q9	FABZ_SHIFL	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ SF0170 S0173	Shigella flexneri	151	P21774
P0A6Q6	FABZ_ECOLI	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)	fabZ sefA yaeA b0180 JW0175	Escherichia coli (strain K12)	151	P21774
P0A6Q7	FABZ_ECOL6	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ c0217	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	151	P21774
P0A6A3	ACKA_ECOLI	reviewed	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA ack b2296 JW2293	Escherichia coli (strain K12)	400	P15046
P0A6A4	ACKA_ECOL6	reviewed	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA ack c2838	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	400	P15046
P0A6A5	ACKA_ECO57	reviewed	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA ack Z3558 ECs3180	Escherichia coli O157:H7	400	P15046
P76536	YFEX_ECOLI	reviewed	Probable deferrochelatase/peroxidase YfeX (EC 1.11.1.-)	yfeX b2431 JW2424	Escherichia coli (strain K12)	299	P76536
P36979	RLMN_ECOLI	reviewed	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN yfgB b2517 JW2501	Escherichia coli (strain K12)	384	P36979
P23893	GSA_ECOLI	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa popC b0154 JW0150	Escherichia coli (strain K12)	426	P23893
P08390	USG_ECOLI	reviewed	USG-1 protein	usg b2319 JW2316	Escherichia coli (strain K12)	337	P08390
P0ABA6	ATPG_ECOLI	reviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG papC uncG b3733 JW3711	Escherichia coli (strain K12)	287	P00837
P0ABA7	ATPG_ECOL6	reviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG c4659	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	287	P00837
P0ABA8	ATPG_ECO57	reviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG Z5231 ECs4675	Escherichia coli O157:H7	287	P00837
P0ABA9	ATPG_SHIFL	reviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG SF3813 S3955	Shigella flexneri	287	P00837
P0ADE8	YGFZ_ECOLI	reviewed	tRNA-modifying protein YgfZ	ygfZ yzzW b2898 JW2866	Escherichia coli (strain K12)	326	P39179
P0ADE9	YGFZ_SHIFL	reviewed	tRNA-modifying protein YgfZ	ygfZ SF2884 S3083	Shigella flexneri	326	P39179
P0AG44	RL17_ECOLI	reviewed	50S ribosomal protein L17 (Large ribosomal subunit protein bL17)	rplQ b3294 JW3256	Escherichia coli (strain K12)	127	P02416
P0AG45	RL17_ECOL6	reviewed	50S ribosomal protein L17	rplQ c4055	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	127	P02416
P0AG46	RL17_ECO57	reviewed	50S ribosomal protein L17	rplQ Z4664 ECs4159	Escherichia coli O157:H7	127	P02416
P0AG47	RL17_SHIFL	reviewed	50S ribosomal protein L17	rplQ SF3326 S4436	Shigella flexneri	127	P02416
P02918	PBPA_ECOLI	reviewed	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA ponA b3396 JW3359	Escherichia coli (strain K12)	850	P02918
P0AF24	NAGD_ECOLI	reviewed	Ribonucleotide monophosphatase NagD (EC 3.1.3.5)	nagD b0675 JW0661	Escherichia coli (strain K12)	250	P15302
P0AF25	NAGD_ECO57	reviewed	Ribonucleotide monophosphatase NagD (EC 3.1.3.5)	nagD Z0822 ECs0705	Escherichia coli O157:H7	250	P15302
P09148	GAL7_ECOLI	reviewed	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	galT galB b0758 JW0741	Escherichia coli (strain K12)	348	P09148
P24182	ACCC_ECOLI	reviewed	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	accC fabG b3256 JW3224	Escherichia coli (strain K12)	449	P24182
P0AFF3	NUPC_ECOL6	reviewed	Nucleoside permease NupC (Nucleoside-transport system protein NupC)	nupC c2932	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	400	P33031
P0AFF2	NUPC_ECOLI	reviewed	Nucleoside permease NupC (Nucleoside-transport system protein NupC)	nupC cru b2393 JW2389	Escherichia coli (strain K12)	400	P33031
P21499	RNR_ECOLI	reviewed	Ribonuclease R (RNase R) (EC 3.1.13.1) (Protein VacB)	rnr vacB yjeC b4179 JW5741	Escherichia coli (strain K12)	813	P21499
P17109	MEND_ECOLI	reviewed	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	menD b2264 JW5374	Escherichia coli (strain K12)	556	P17109
P77348	MPPA_ECOLI	reviewed	Periplasmic murein peptide-binding protein	mppA ynaH b1329 JW1322	Escherichia coli (strain K12)	537	P77348
P0A7J6	RL10_SHIFL	reviewed	50S ribosomal protein L10	rplJ SF4058 S3677	Shigella flexneri	165	P02408
P0A7J4	RL10_ECOL6	reviewed	50S ribosomal protein L10	rplJ c4941	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	165	P02408
P0A7J5	RL10_ECO57	reviewed	50S ribosomal protein L10	rplJ Z5558 ECs4908	Escherichia coli O157:H7	165	P02408
P0A7J3	RL10_ECOLI	reviewed	50S ribosomal protein L10 (50S ribosomal protein L8) (Large ribosomal subunit protein uL10)	rplJ b3985 JW3948	Escherichia coli (strain K12)	165	P02408
P77624	ARCM_ECOLI	reviewed	Carbamate kinase-like protein YahI	yahI b0323 JW0315	Escherichia coli (strain K12)	316	P77624
P0A9M1	LON_ECOL6	reviewed	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon c0555	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	784	P08177
P0A9M0	LON_ECOLI	reviewed	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon capR deg lopA muc b0439 JW0429	Escherichia coli (strain K12)	784	P08177
P60340	TRUB_ECOLI	reviewed	tRNA pseudouridine synthase B (EC 5.4.99.25) (Protein P35) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB yhbA b3166 JW3135	Escherichia coli (strain K12)	314	P60340
Q57154	REPB_ECOLI	reviewed	RepFIB replication protein A	repB repA ECOK12F033	Escherichia coli (strain K12)	325	Q57154
P09831	GLTB_ECOLI	reviewed	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	gltB aspB b3212 JW3179	Escherichia coli (strain K12)	1486	P09831
P06968	DUT_ECOLI	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	dut dnaS sof b3640 JW3615	Escherichia coli (strain K12)	151	P06968
P27550	ACSA_ECOLI	reviewed	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acs yfaC b4069 JW4030	Escherichia coli (strain K12)	652	P27550
P00960	SYGA_ECOLI	reviewed	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ glyS(A) b3560 JW3531	Escherichia coli (strain K12)	303	P00960
P69832	PTKC_ECO57	reviewed	PTS system galactitol-specific EIIC component (EIIC-Gat) (Galactitol permease IIC component)	gatC Z3255 ECs2895	Escherichia coli O157:H7	451	P37189
P69831	PTKC_ECOLI	reviewed	PTS system galactitol-specific EIIC component (EIIC-Gat) (Galactitol permease IIC component)	gatC b2092 JW2076	Escherichia coli (strain K12)	451	P37189
P0A9S3	GATD_ECOLI	reviewed	Galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251)	gatD b2091 JW2075	Escherichia coli (strain K12)	346	P37190
P0A9S4	GATD_ECO57	reviewed	Galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251)	gatD Z3254 ECs2894	Escherichia coli O157:H7	346	P37190
P0ACF2	DBHA_ECO57	reviewed	DNA-binding protein HU-alpha (HU-2) (NS2)	hupA Z5576 ECs4923	Escherichia coli O157:H7	90	P02342
P0ACF3	DBHA_SHIFL	reviewed	DNA-binding protein HU-alpha (HU-2) (NS2)	hupA SF4072 S3663	Shigella flexneri	90	P02342
P0ACF0	DBHA_ECOLI	reviewed	DNA-binding protein HU-alpha (HU-2) (NS2)	hupA b4000 JW3964	Escherichia coli (strain K12)	90	P02342
P0ACF1	DBHA_ECOL6	reviewed	DNA-binding protein HU-alpha (HU-2) (NS2)	hupA c4957	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	90	P02342
P0A799	PGK_ECOLI	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk b2926 JW2893	Escherichia coli (strain K12)	387	P11665
P0A7A1	PGK_SHIFL	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk SF2911 S3111	Shigella flexneri	387	P11665
P0A7A0	PGK_ECOL6	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk c3504	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	387	P11665
P00393	DHNA_ECOLI	reviewed	NADH dehydrogenase (EC 1.6.99.3)	ndh b1109 JW1095	Escherichia coli (strain K12)	434	P00393
P42641	OBG_ECOLI	reviewed	GTPase ObgE/CgtA (EC 3.6.5.-) (GTP-binding protein Obg)	obgE cgtA obg yhbZ b3183 JW3150	Escherichia coli (strain K12)	390	P42641
P0AB92	AROG_ECO57	reviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG Z0924 ECs0782	Escherichia coli O157:H7	350	P00886
P0AB91	AROG_ECOLI	reviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG b0754 JW0737	Escherichia coli (strain K12)	350	P00886
P0A719	KPRS_ECO57	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA Z1978 ECs1712	Escherichia coli O157:H7	315	P08330
P0A717	KPRS_ECOLI	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA b1207 JW1198	Escherichia coli (strain K12)	315	P08330
P0A718	KPRS_ECOL6	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA c1665	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	315	P08330
P13009	METH_ECOLI	reviewed	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12-dependent) (MS)	metH b4019 JW3979	Escherichia coli (strain K12)	1227	P13009
P21169	DCOR_ECOLI	reviewed	Constitutive ornithine decarboxylase (EC 4.1.1.17)	speC b2965 JW5482	Escherichia coli (strain K12)	711	P21169
P0ABU0	MENB_ECOLI	reviewed	1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)	menB b2262 JW2257	Escherichia coli (strain K12)	285	P27290
P0ABU1	MENB_ECOL6	reviewed	1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)	menB c2805	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	285	P27290
P0AC93	GNSA_ECOL6	reviewed	Protein GnsA	gnsA c1125	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	57	P52635
